,feature,n,IQR_n_outliers,IQR_outlier_%,IQR_min,IQR_max,IQR_lower_bound,IQR_upper_bound,Z_n_outliers,Z_outlier_%,Z_min,Z_max,Z_lower_bound,Z_upper_bound
208,04740001,4073,715,17.554628038301008,69.999201,74.670303,71.62919999999998,74.51720000000002,0,0.0,69.999201,74.670303,-3,3
4,01160001,5902,813,13.774991528295494,392.1755,397.89,397.195553875,397.67007687500006,160,2.7109454422229753,392.1755,397.89,-3,3
153,03097094,9508,1216,12.789230122002524,28.655,32.870412,30.0766995,31.6614555,218,2.2928060580563736,28.655,32.870412,-3,3
207,04677031,7253,842,11.608989383703296,57.289,68.372,59.99471,63.993573999999995,131,1.8061491796498002,57.289,68.372,-3,3
152,03097082,7380,821,11.124661246612465,28.042,33.6101,31.70927,33.557198,210,2.8455284552845526,28.042,33.6101,-3,3
155,03097131,9152,893,9.75743006993007,34.914,43.85,40.23933075000001,44.21260274999999,248,2.7097902097902096,34.914,43.85,-3,3
50,02370001,4987,476,9.544816522959696,67.3529,69.0856,68.26053149999998,69.27924750000003,102,2.0453178263485063,67.3529,69.0856,-3,3
72,03010005,4308,406,9.424326833797586,305.7051,307.2288,306.4303,307.1559,139,3.2265552460538536,305.7051,307.2288,-3,3
190,04300006,6209,576,9.276856176517958,286.194759,289.294343,287.9536935,289.5987775,169,2.7218553712353035,286.194759,289.294343,-3,3
184,04080003,3846,352,9.152366094643785,152.4207,158.0036,154.88984999999997,158.49245000000002,85,2.210088403536141,152.4207,158.0036,-3,3
175,04020007,1582,131,8.280657395701644,216.8463,219.1598,216.9799625,218.7874625,0,0.0,216.8463,219.1598,-3,3
20,02120001,5727,460,8.032128514056225,55.148083,60.858643,54.130702499999984,58.2033385,163,2.8461672778068796,55.148083,60.858643,-3,3
260,08010004,5898,461,7.816208884367583,354.454346,356.467522,354.55628462499993,355.9604436250001,28,0.47473719905052564,354.454346,356.467522,-3,3
121,03040011,5595,406,7.256478999106345,37.6677,40.70409,39.12954999999999,40.84435000000001,133,2.377122430741734,37.6677,40.70409,-3,3
170,04020002,2539,183,7.207562032296179,253.6743,256.2452,253.18205,255.04925000000003,45,1.7723513194170932,253.6743,256.2452,-3,3
59,02407005,6699,462,6.896551724137931,189.74,198.5047,195.5561775,197.4586375,246,3.6721898790864307,189.74,198.5047,-3,3
169,04020001,4193,286,6.820891962795135,320.2659,322.123,320.1598499999999,321.0738500000001,110,2.623419985690436,320.2659,322.123,-3,3
16,02000009,3490,233,6.6762177650429795,2.0979,4.3157,3.1933499999999997,4.259150000000001,94,2.693409742120344,2.0979,4.3157,-3,3
241,06180001,204,13,6.372549019607843,139.392668,140.298983,139.18642012500004,139.939859125,10,4.901960784313726,139.392668,140.298983,-3,3
172,04020004,2534,161,6.353591160220995,207.1882,209.6561,207.24359937500003,208.93648037499997,11,0.4340962904498816,207.1882,209.6561,-3,3
96,03030004,5471,346,6.324255163589837,46.14700000000001,49.677,48.05781875000001,50.07736874999999,57,1.0418570645220253,46.14700000000001,49.677,-3,3
40,02340001,5843,368,6.298134519938388,118.346844,123.083291,121.37806074999997,123.64909875000001,230,3.936334074961492,118.346844,123.083291,-3,3
171,04020003,2443,151,6.180925092099877,253.2118,255.8187,252.68052500000005,254.76392499999992,37,1.514531313958248,253.2118,255.8187,-3,3
116,03040006,5526,339,6.134636264929425,11.6954,14.901416,12.6527125,15.498012500000002,83,1.5019905899384727,11.6954,14.901416,-3,3
135,03090004,8072,486,6.020812685827552,63.509,67.579,66.10300274999997,67.78048875000002,129,1.5981169474727452,63.509,67.579,-3,3
81,03020007,2522,149,5.908009516256938,612.3412,614.6215,613.1410500000001,614.77725,63,2.4980174464710547,612.3412,614.6215,-3,3
5,01160002,6199,359,5.79125665429908,17.5073,23.310844,16.969202749999994,19.419120750000005,90,1.4518470721084045,17.5073,23.310844,-3,3
38,02330002,5709,328,5.745314415834647,559.486713,562.773893,561.7571015000001,562.6239294999998,119,2.0844280959887893,559.486713,562.773893,-3,3
