features,start
01030001,2009-07-14
01070001,2005-11-09
01070002,2009-07-14
01120001,2009-11-14
01160001,2008-11-20
01160002,2009-07-13
01300001,2010-05-11
01370001,2010-05-11
02000001,2009-07-24
02000002,2009-07-20
02000003,2009-07-21
02000004,2010-12-02
02000005,2010-12-02
02000006,2010-12-02
02000007,2013-10-09
02000008,2014-09-05
02000009,2014-10-28
02000010,2014-10-30
02000011,2013-12-05
02000012,2012-11-02
02120001,2009-07-22
02140001,2009-07-23
02150001,2009-07-22
02160001,2009-11-11
02167001,1979-09-29
02180001,2013-12-05
02190001,2014-10-17
02190002,2014-10-28
02200001,2009-07-24
02247021,1975-11-27
02257001,1975-04-24
02260001,2021-09-01
02270001,2010-05-11
02300001,2010-05-18
02310001,2010-05-13
02310002,2013-10-04
02310003,2014-06-29
02330001,2010-05-14
02330002,2010-05-12
02330003,2013-10-11
02340001,2006-07-05
02340002,2010-09-24
02340003,2010-05-13
02340004,2010-05-13
02340005,2010-09-24
02340006,2007-06-14
02340007,2013-09-27
02340008,2013-10-01
02340009,
02360001,2010-05-18
02370001,2010-12-02
02370002,2010-11-24
02370003,2010-11-19
02370004,2011-06-28
02400001,2010-05-19
02400002,2010-12-02
02400003,2010-12-02
02400004,2013-10-05
02407004,1985-09-25
02407005,1985-11-11
02507001,1980-09-26
02590001,2013-10-10
02600001,2013-10-18
02G47001,1979-04-11
03000001,2004-03-25
03000002,2004-03-25
03000003,2000-06-16
03000005,2013-08-07
03010001,2015-07-28
03010002,2014-01-23
03010003,2013-08-09
03010004,2013-11-07
03010005,2013-08-09
03010006,2015-07-28
03010007,2013-10-04
03020001,2009-09-23
03020002,2010-05-18
03020003,2013-10-04
03020004,2019-05-20
03020005,2019-07-05
03020006,2019-05-20
03020007,2019-05-28
03020008,2019-06-05
03020009,2019-06-05
03020010,2019-05-28
03020011,2019-05-28
03020012,2019-05-28
03020013,2019-06-05
03027021,1977-11-10
03027032,1982-06-18
03027061,1969-02-15
03027062,1969-02-08
03027091,1969-11-25
03030001,2010-12-08
03030002,2010-11-24
03030003,2010-12-07
03030004,2010-11-18
03030005,2010-11-18
03030006,2010-11-30
03030007,2010-11-30
03030008,2011-02-01
03030010,2010-11-23
03030011,2010-11-26
03030012,2011-10-28
03030013,2011-10-28
03030014,2011-10-26
03030015,2011-10-25
03030016,2011-11-01
03030017,2011-10-31
03030018,2011-11-29
03037031,1975-07-30
03037041,1975-07-17
03037071,1975-09-11
03040001,2010-11-21
03040002,2011-03-01
03040005,2010-11-17
03040006,2010-11-19
03040007,2010-12-11
03040008,2010-12-11
03040009,2010-11-20
03040010,2010-11-26
03040011,2010-11-26
03040012,2010-12-11
03040013,2010-12-11
03040014,2010-11-26
03040015,2010-11-23
03040016,2011-02-01
03040017,2011-10-26
03040018,2012-06-06
03047011,1969-12-09
03070001,2004-03-24
03070002,2004-03-24
03090001,2004-05-05
03090002,2004-05-05
03090003,2004-03-25
03090004,2004-03-24
03090005,2004-03-24
03090006,2004-03-24
03090007,2004-03-25
03090008,2004-03-25
03090009,2004-03-25
03090010,2004-03-25
03090011,2004-03-25
03090012,2004-04-27
03090013,2004-03-26
03090014,2004-03-24
03090015,2004-03-24
03090018,2004-03-25
03090019,2004-03-25
03090020,2004-05-06
03090021,2001-07-03
03097062,1974-08-23
03097082,1984-09-07
03097094,1984-09-07
03097102,1980-11-05
03097131,1981-01-09
03097182,1982-09-22
03097191,1982-09-30
03097201,1984-06-08
04010001,2005-09-29
04010002,2014-08-27
04010003,2019-08-28
04010004,2020-05-13
04010005,2020-09-16
04017011,1974-01-17
04017031,1974-04-25
04017041,1974-01-17
04017042,1974-01-17
04017051,1974-01-31
04020001,2014-08-28
04020002,2019-06-21
04020003,2019-06-21
04020004,2019-06-25
04020005,2019-08-08
04020006,2020-06-17
04020007,2019-08-08
04040001,2011-12-07
04060001,2014-08-28
04060002,2019-06-11
04060003,2019-08-07
04060004,2019-06-14
04060005,2020-05-28
04080001,2011-12-07
04080002,2011-12-07
04080003,2014-09-17
04300001,2005-09-29
04300002,2008-08-23
04300003,2009-05-10
04300004,2009-05-12
04300005,2009-05-12
04300006,2009-05-14
04300007,2009-05-14
04300008,2009-05-23
04300009,2009-06-14
04300010,2009-06-14
04300011,2015-11-26
04300012,2011-12-06
04300013,2014-09-10
04300014,2014-09-09
04300015,2014-09-08
04300016,
04440001,2013-06-28
04630001,2013-08-06
04640001,2006-08-31
04646001,2020-05-13
04647001,1974-11-29
04647011,1974-11-28
04677031,1974-01-18
04740001,2013-07-04
05000001,2010-06-16
05000002,2014-08-22
05010001,2011-08-31
05017001,1980-01-11
05017011,1980-01-11
05017031,1979-12-15
05020001,2013-01-15
05030001,2014-08-22
05040001,1996-11-22
05040003,2010-06-17
05070001,1996-11-22
05080001,1996-11-22
05080002,2008-10-24
05080003,2006-01-26
05097001,1981-09-11
05097002,1981-09-11
05107041,1968-07-04
05120001,2012-02-02
05150001,2010-06-16
05170001,2010-06-15
05220002,2011-10-01
05220003,2014-08-27
05227007,1981-12-02
05260001,2011-08-31
05280001,1997-06-26
05300001,2014-08-21
06010001,2010-10-14
06020001,2010-10-14
06100001,2008-10-06
06140001,2010-10-18
06150001,2008-10-06
06170001,2010-10-21
06180001,2010-10-20
06190001,2010-10-21
06190002,2010-10-21
06200001,2010-10-21
06210001,2011-05-11
06220001,2010-10-20
06230001,2010-10-19
06290001,2010-10-14
06290002,2010-10-14
07000001,2008-07-14
07000002,2008-07-16
07000003,2008-07-16
07000004,2008-07-15
07007001,1971-09-09
07230001,2008-07-17
07480001,2008-07-15
08010001,2008-05-23
08010002,2008-05-22
08010003,2009-05-06
08010004,2009-05-24
08010005,2009-06-11
08010006,2009-06-11
08010007,2009-10-20
08070001,2008-05-23
08070002,2008-08-21
08A10001,2008-08-25
08A10002,2008-08-25
09000001,
09000002,2012-09-12
09000003,
09000004,2013-02-01
09000005,
09000006,2012-09-12
09000008,2012-09-12
09000009,2014-07-04
09000010,
09000011,2020-01-09
09000012,2011-06-10
09060001,2019-10-11
09060002,2019-10-13
09060003,2019-10-13
09060004,2019-10-16
09060005,2019-10-16
09060006,2019-10-16
09270001,2019-10-08
09270002,2019-10-06
12000001,2012-02-03
13000001,2016-11-02
13000002,2016-11-02
13000003,2016-11-02
13000004,2016-11-02
13000005,2016-11-03
13000006,2017-06-06
13000007,2018-06-22
13000008,2019-09-15
